# Excitation curve - current to energy
# 2015-07-13
#
# I [A]                    E [eV]
# ===============================================
  +0.000000000000000e+00   +0.000000000000000e+00
  +5.000000000000000e+01   +4.195187548000000e+08
  +1.000000000000000e+02   +8.388155048000000e+08
  +1.500000000000000e+02   +1.258112254800000e+09
  +2.000000000000000e+02   +1.677409004800000e+09
  +2.500000000000000e+02   +2.096705754800000e+09
  +3.000000000000000e+02   +2.516002504800000e+09
  +3.500000000000000e+02   +2.935299254800000e+09
  +4.000000000000000e+02   +3.354596004800000e+09
  +4.500000000000000e+02   +3.773892754800000e+09
